bucket,time_end,files_combined,bytes_combined
0,10.0,148.000000,3351566396.0
1,20.0,206.000000,66380809.0
2,30.0,188.000000,13613106.0
3,40.0,186.000000,52450303.0
4,50.0,218.000000,31575781.0
5,60.0,173.000000,51595586653.0
6,70.0,266.000000,28927108068.0
7,80.0,474.000000,2803840208.0
8,90.0,1309.000000,632870824087.0
9,100.0,808.000000,7983225837.0
10,110.0,686.000000,15101043344.0
11,120.0,695.000000,20663764647.0
12,130.0,626.000000,31907647716.0
13,140.0,451.000000,5169104678.0
14,150.0,407.000000,3072734031.0
15,160.0,333.000000,2110124973.0
16,170.0,384.000000,2206921216.0
17,180.0,483.000000,2909437440.0
18,190.0,443.000000,169527821858.0
19,200.0,409.000000,538938813705.0
20,210.0,413.000000,273098866316.0
21,220.0,375.000000,54225105863.0
22,230.0,617.000000,3526530547.0
23,240.0,665.000000,3828129069.0
24,250.0,580.000000,3342749524.0
25,260.0,466.000000,2665317222.0
26,270.0,457.000000,2619896021.0
27,280.0,320.000000,1851348795.0
28,290.0,290.000000,1687076923.0
29,300.0,495.000000,2843861005.0
30,310.0,1469.000000,52495209856.0
31,320.0,910.000000,33902428415.0
32,330.0,816.000000,5154982912.0
33,340.0,691.000000,4407044096.0
34,350.0,996.000000,6254683136.0
35,360.0,590.000000,3638401024.0
36,370.0,760.000000,4842890752.0
37,380.0,630.000000,3928622080.0
38,390.0,402.000000,2442033152.0
39,400.0,705.000000,4479516672.0
40,410.0,842.000000,5550525440.0
41,420.0,523.000000,3476206080.0
42,430.0,283.000000,1884401152.0
43,440.0,433.000000,2867822080.0
44,450.0,561.000000,3653814784.0
45,460.0,291.000000,1875653632.0
46,470.0,2.000000,10291200.0
47,480.0,2.000000,12270592.0
48,490.0,4.000000,24105472.0
49,500.0,106.000000,689221632.0
50,510.0,409.000000,2453732864.0
51,520.0,636.000000,3602340864.0
52,530.0,520.000000,3164023808.0
53,540.0,398.000000,2465969664.0
54,550.0,343.000000,2129754624.0
55,560.0,435.000000,2751512576.0
56,570.0,279.000000,1719170560.0
57,580.0,328.000000,1974474240.0
58,590.0,479.000000,2743614464.0
59,600.0,323.000000,1870561792.0
60,610.0,315.000000,1843335680.0
61,620.0,472.000000,2840445440.0
62,630.0,503.000000,3215247360.0
63,640.0,493.000000,3086769152.0
64,650.0,501.000000,2946457600.0
65,660.0,617.000000,3671280640.0
66,670.0,445.000000,2563914240.0
67,680.0,604.000000,42016142274.0
68,690.0,478.000000,3176168940.0
69,700.0,559.000000,3706204764.0
70,710.0,565.000000,3743380831.0
71,720.0,573.000000,29439216341.0
72,730.0,582.000000,2950215087.0
73,740.0,461.000000,240095510.0
74,750.0,444.000000,362083400.0
75,760.0,409.000000,602533046.0
76,770.0,486.000000,35057309.0
77,780.0,755.000000,19420274.0
78,790.0,629.000000,357590702.0
79,800.0,628.000000,312024042.0
80,810.0,572.000000,847639349.0
81,820.0,512.000000,6910872.0
82,830.0,512.000000,200498163.0
83,840.0,483.000000,203982488.0
84,850.0,829.000000,623797254.0
85,860.0,684.000000,318201650.0
86,870.0,676.000000,19238084.0
87,880.0,520.000000,8510680.0
88,890.0,608.000000,15267439.0
89,900.0,661.000000,32706527.0
90,910.0,338.250000,5249815.7
91,920.0,313.250000,2507930.7
92,930.0,347.250000,148895515.7
93,940.0,620.250000,102080253.8
94,950.0,502.000000,11830285.0
95,960.0,565.000000,124451212.0
96,970.0,704.000000,174220663.0
97,980.0,527.000000,1128756257.0
98,990.0,588.000000,3484833635.0
99,1000.0,715.000000,1334190855.0
100,1010.0,508.000000,1264177886.0
101,1020.0,569.000000,2380806568.0
102,1030.0,586.000000,11187806045.0
103,1040.0,460.000000,1540939086.0
104,1050.0,624.000000,1229071765.0
105,1060.0,472.000000,1317612861.0
106,1070.0,506.000000,1656372296.0
107,1080.0,674.000000,3204973396.0
108,1090.0,459.000000,4683411900.0
109,1100.0,349.000000,1120332968.0
110,1110.0,326.000000,804923390.0
111,1120.0,380.000000,6286980817.0
112,1130.0,325.000000,3135984706.0
113,1140.0,429.000000,3249531669.0
114,1150.0,404.000000,2393333935.0
115,1160.0,240.000000,850013487.0
116,1170.0,547.000000,4900445237.0
117,1180.0,397.000000,4580501022.0
118,1190.0,481.000000,6175679734.0
119,1200.0,552.000000,3185155826.0
120,1210.0,483.000000,1684861491.0
121,1220.0,666.000000,3808196150.0
122,1230.0,342.000000,1205494676.0
123,1240.0,317.000000,2572836361.0
124,1250.0,306.000000,2370618848.0
125,1260.0,601.000000,8784750994.0
126,1270.0,533.000000,1377287524.0
127,1280.0,321.000000,2110330193.0
128,1290.0,470.000000,2976473523.0
129,1300.0,471.000000,2356715767.0
130,1310.0,416.000000,2284449956.0
131,1320.0,93.000000,1223569868.0
132,1330.0,357.000000,788359063.0
133,1340.0,616.000000,5876586770.0
134,1350.0,391.000000,892550221.0
135,1360.0,409.000000,1388863620.0
136,1370.0,419.000000,2034422964.0
137,1380.0,394.000000,1128677783.0
138,1390.0,467.000000,1365291066.0
139,1400.0,427.000000,4486431381.0
140,1410.0,323.000000,1110344911.0
141,1420.0,363.000000,1178027912.0
142,1430.0,539.000000,1768181098.0
143,1440.0,472.000000,828464646.0
144,1450.0,588.000000,932789175.0
145,1460.0,343.000000,588762481.0
146,1470.0,241.000000,280045892.0
147,1480.0,245.000000,317195812.0
148,1490.0,455.000000,1186169263.0
149,1500.0,459.000000,620434523.0
150,1510.0,482.000000,759386750.0
151,1520.0,447.000000,466421712.0
152,1530.0,455.000000,592742208.0
153,1540.0,771.000000,2958184525.0
154,1550.0,556.000000,1319604588.0
155,1560.0,525.000000,2310790064.0
156,1570.0,473.000000,1745321537.0
157,1580.0,530.000000,1292621782.0
158,1590.0,355.000000,958651577.0
159,1600.0,787.000000,792116097.0
160,1610.0,1208.000000,3877329350.0
161,1620.0,726.000000,2140786006.0
162,1630.0,578.000000,2288866854.0
163,1640.0,541.000000,1780538042.0
164,1650.0,621.000000,968047489.0
165,1660.0,690.000000,942638368.0
166,1670.0,865.000000,1005439946.0
167,1680.0,1115.000000,2005275899.0
168,1690.0,585.000000,1516915169.0
169,1700.0,422.000000,1681847519.0
170,1710.0,681.000000,384468993.0
171,1720.0,573.000000,346574911.0
172,1730.0,485.000000,315174871.0
173,1740.0,1061.000000,803359027.0
174,1750.0,796.000000,340398075.0
175,1760.0,611.000000,566807043.0
176,1770.0,652.000000,375150377.0
177,1780.0,787.000000,703333401.0
178,1790.0,433.000000,300452916.0
179,1800.0,352.000000,336043931.0
180,1810.0,594.000000,621911430.0
181,1820.0,466.000000,269926328.0
182,1830.0,980.000000,1113213262.0
183,1840.0,689.000000,922618398.0
184,1850.0,589.000000,5968878066.0
185,1860.0,582.000000,1253424635.0
186,1870.0,462.000000,906682665.0
187,1880.0,487.000000,829127591.0
188,1890.0,331.000000,589305084.0
189,1900.0,217.000000,218615256.0
190,1910.0,617.000000,1125472231.0
191,1920.0,220.000000,4789864422.0
192,1930.0,465.000000,2086788876.0
193,1940.0,465.000000,1910757117.0
194,1950.0,595.000000,1370940610.0
195,1960.0,113.000000,279956056.0
196,1970.0,95.000000,296735723.0
197,1980.0,49.000000,61546117.0
198,1990.0,55.000000,128263335.0
199,2000.0,69.000000,165323974.0
200,2010.0,31.000000,192164750.0
201,2020.0,49.000000,111286170.0
202,2030.0,147.000000,200200630.0
203,2040.0,296.000000,612747067.0
204,2050.0,615.000000,1155646916.0
205,2060.0,359.000000,602829480.0
206,2070.0,259.000000,493314494.0
207,2080.0,1691.000000,28441662214.0
208,2090.0,1945.000000,1830770334.0
209,2100.0,696.000000,2511027824.0
210,2110.0,1008.000000,1490351967.0
211,2120.0,695.000000,1067472999.0
212,2130.0,2421.000000,32969124694.0
213,2140.0,3998.000000,4499140515.0
214,2150.0,2022.000000,225979776.0
215,2160.0,1822.000000,3081468915.0
216,2170.0,801.000000,943854904.0
217,2180.0,1129.000000,19409765278.0
218,2190.0,2527.000000,2418600062.0
219,2200.0,2314.000000,1135840685.0
220,2210.0,1826.000000,513094391.0
221,2220.0,1067.000000,111917235.0
222,2230.0,208.000000,6961370.0
223,2240.0,590.333333,308701851.2
224,2250.0,279.333333,1409861743.2
225,2260.0,850.333333,14738385472.5
226,2270.0,720.000000,612631979.0
227,2280.0,695.000000,450702317.0
228,2290.0,473.000000,28410122.0
229,2300.0,466.000000,21913186.0
230,2310.0,359.000000,12477136.0
231,2320.0,1939.000000,870852498.0
232,2330.0,2169.333333,9021580189.6
233,2340.0,989.333333,2719692173.6
234,2350.0,616.333333,2586723891.8
235,2360.0,542.000000,109153179.0
236,2370.0,924.000000,747639690.0
237,2380.0,1532.000000,491522147.0
238,2390.0,1852.000000,1395058085.0
239,2400.0,1270.000000,4351155173.0
240,2410.0,1819.000000,7255100090.0
241,2420.0,1060.000000,3421045092.0
242,2430.0,815.000000,2639443225.0
243,2440.0,810.000000,1275413506.0
244,2450.0,843.000000,563536458.0
245,2460.0,1.333333,2549834.3
246,2470.0,1.333333,3574987.3
247,2480.0,203.333333,236340156.3
248,2490.0,598.000000,792123549.0
249,2500.0,322.000000,387273682.0
250,2510.0,820.000000,1702828742.0
251,2520.0,110.000000,313327039.0
252,2530.0,6.500000,16289704.0
253,2540.0,0.642857,1774452.1
254,2550.0,0.309524,555295.0
255,2560.0,0.309524,555295.0
256,2570.0,0.309524,555295.0
257,2580.0,0.309524,555295.0
258,2590.0,0.309524,555295.0
259,2600.0,2.309524,3207773.4
260,2610.0,1.142857,966295.9
261,2620.0,1.142857,1596595.9
262,2630.0,1.142857,751874.9
263,2640.0,0.476190,207324.2
264,2650.0,0.476190,207324.2
265,2660.0,2.476190,1606866.2
266,2670.0,1.142857,497457.9
267,2680.0,35.000000,113736299.0
268,2690.0,8.000000,3637864.0
269,2700.0,20.000000,27798027.0
270,2710.0,2.000000,4383123.0
271,2720.0,0.833333,1941451.6
272,2730.0,2.833333,7652286.0
273,2740.0,2.333333,6964811.3
274,2750.0,1.500000,1986176.0
275,2760.0,0.642857,2142602.6
276,2770.0,0.476190,2131520.6
277,2780.0,0.476190,2131520.6
278,2790.0,0.476190,2131520.6
279,2800.0,0.642857,1987386.1
280,2810.0,0.642857,1987386.1
281,2820.0,5.142857,8850290.4
282,2830.0,1.090909,375258.2
283,2840.0,2.090909,681260.2
284,2850.0,0.590909,465280.2
285,2860.0,0.590909,465280.2
286,2870.0,0.181818,371195.0
287,2880.0,0.181818,371195.0
288,2890.0,0.181818,371195.0
289,2900.0,0.181818,371195.0
290,2910.0,0.181818,371195.0
291,2920.0,0.181818,371195.0
292,2930.0,1.181818,3354606.9
293,2940.0,28.090909,249429398.8
294,2950.0,1.090909,336240.8
295,2960.0,0.190909,23005.8
296,2970.0,1.190909,81164.8
297,2980.0,1.100000,60993.0
298,2990.0,6.100000,296621.0
299,3000.0,0.600000,20958.5
300,3010.0,1.600000,95359.5
301,3020.0,2.100000,99276.0
302,3030.0,1.100000,48007.0
303,3040.0,9.100000,437546.0
304,3050.0,14.100000,14220532.0
305,3060.0,21.000000,19507614.0
306,3070.0,11.125000,81614733.8
307,3080.0,6.125000,54709491.8
308,3090.0,0.375000,773020.8
309,3100.0,0.375000,773020.8
310,3110.0,0.375000,773020.8
311,3120.0,0.375000,773020.8
312,3130.0,0.625000,849946.3
313,3140.0,0.625000,849946.3
314,3150.0,3.200000,1038703.0
315,3160.0,1.200000,405980.0
316,3170.0,3.200000,809081.0
317,3180.0,26.200000,3368866.0
318,3190.0,24.200000,4685431.0
319,3200.0,1.500000,247678.5
320,3210.0,4.500000,1113315.5
321,3220.0,5.000000,564643.0
322,3230.0,1.166667,574649.0
323,3240.0,3.166667,9838395.0
324,3250.0,0.416667,73896.2
325,3260.0,0.416667,73896.2
326,3270.0,0.416667,73896.2
327,3280.0,5.416667,1270963.2
328,3290.0,1.200000,138680.6
329,3300.0,121.200000,344422120.6
330,3310.0,167.200000,395515474.6
331,3320.0,181.200000,794881300.6
332,3330.0,186.200000,700941398.6
333,3340.0,199.250000,1085288111.2
334,3350.0,188.250000,1047255757.2
335,3360.0,218.250000,107838202.2
336,3370.0,124.250000,232876860.2
337,3380.0,157.000000,124321914.0
338,3390.0,132.000000,55005296.0
339,3400.0,152.000000,372594786.0
340,3410.0,206.200000,440449839.0
341,3420.0,203.200000,519579102.0
342,3430.0,210.200000,5235948682.0
343,3440.0,192.200000,1950111720.0
344,3450.0,194.200000,2180451101.0
345,3460.0,235.200000,1002018533.0
346,3470.0,227.200000,2744045994.0
347,3480.0,228.200000,860831486.0
348,3490.0,227.200000,1253494297.0
349,3500.0,161.200000,908550539.0
350,3510.0,74.000000,415106662.0
351,3520.0,5.000000,12940369.0
352,3530.0,1.500000,285639.2
353,3540.0,2.000000,97129.8
354,3550.0,10.500000,23681337.0
355,3560.0,3.333333,21037379.3
356,3570.0,8.333333,21272958.3
357,3580.0,15.333333,88713106.5
358,3590.0,2.000000,1693497.0
359,3600.0,4.000000,7923450.0
360,3610.0,4.000000,4298758822.0
361,3620.0,4.000000,9746776.0
362,3630.0,17.333333,48633789.0
363,3640.0,193.333333,795425671.0
364,3650.0,199.333333,935247710.0
365,3660.0,211.000000,401608109.0
366,3670.0,207.500000,636118169.0
367,3680.0,163.500000,375061634.0
368,3690.0,191.000000,538397510.0
369,3700.0,220.000000,902493288.0
370,3710.0,197.333333,552940790.8
371,3720.0,205.333333,239160617.8
372,3730.0,209.333333,85221346.5
373,3740.0,217.000000,75709952.0
374,3750.0,206.333333,439116331.0
375,3760.0,208.333333,200116470.0
376,3770.0,213.333333,204290437.0
377,3780.0,221.333333,220991832.0
378,3790.0,200.333333,211926692.0
379,3800.0,187.333333,267323722.0
380,3810.0,345.000000,745085835.0
381,3820.0,385.000000,792989328.0
382,3830.0,360.000000,1154009625.0
383,3840.0,381.000000,842476207.0
384,3850.0,365.000000,1346980827.0
385,3860.0,374.000000,344957387.0
386,3870.0,351.000000,313478664.0
387,3880.0,284.000000,396145703.0
388,3890.0,323.000000,355460672.0
389,3900.0,305.000000,263951834.0
390,3910.0,295.000000,275678275.0
391,3920.0,291.000000,739203292.0
392,3930.0,344.000000,500213976.0
393,3940.0,245.000000,221330778.0
394,3950.0,261.000000,2710021949.0
395,3960.0,378.000000,2104992710.0
396,3970.0,384.000000,3984904130.0
397,3980.0,411.000000,1202567583.0
398,3990.0,442.000000,4910350873.0
399,4000.0,408.000000,1296202341.0
400,4010.0,394.000000,1826434822.0
401,4020.0,424.000000,1316647543.0
402,4030.0,244.000000,443309281.0
403,4040.0,200.000000,300465731.0
404,4050.0,217.000000,331602640.0
405,4060.0,211.000000,349475679.0
406,4070.0,233.000000,370165820.0
407,4080.0,211.000000,326539677.0
408,4090.0,208.000000,351379112.0
409,4100.0,8.000000,14256793.0
410,4110.0,7.000000,29229678.0
411,4120.0,7.000000,9200377.0
412,4130.0,1.250000,3351320.0
413,4140.0,1.250000,2147513993.0
414,4150.0,0.750000,1075309724.6
415,4160.0,6.750000,1089023489.4
416,4170.0,2.500000,8467145.5
417,4180.0,2.500000,2561068.5
418,4190.0,25.333333,53405763.0
419,4200.0,181.333333,1063235640.0
420,4210.0,216.333333,539105006.0
421,4220.0,199.000000,384953640.0
422,4230.0,196.000000,450813179.0
423,4240.0,202.500000,456665425.0
424,4250.0,204.500000,522326663.0
425,4260.0,215.000000,762153636.0
426,4270.0,224.333333,455703645.0
427,4280.0,216.333333,227591630.0
428,4290.0,195.333333,75796800.0
429,4300.0,196.500000,167372309.4
430,4310.0,187.500000,366034401.6
431,4320.0,205.500000,197391949.5
432,4330.0,214.500000,254514157.5
433,4340.0,212.000000,212254110.0
434,4350.0,198.000000,156188084.0
435,4360.0,174.000000,259469764.0
436,4370.0,185.000000,211756114.0
437,4380.0,205.500000,260665952.5
438,4390.0,190.500000,281353144.5
439,4400.0,195.500000,237074050.0
440,4410.0,186.500000,226868249.0
441,4420.0,198.250000,274071952.5
442,4430.0,183.250000,190912550.5
443,4440.0,201.250000,271150494.5
444,4450.0,212.250000,258826481.5
445,4460.0,211.333333,285634201.7
446,4470.0,213.333333,296546077.7
447,4480.0,203.333333,197538558.7
448,4490.0,193.500000,142975078.5
449,4500.0,205.500000,183514824.5
450,4510.0,206.500000,227058788.5
451,4520.0,237.500000,216953367.5
452,4530.0,216.500000,291553472.0
453,4540.0,237.500000,345033326.0
454,4550.0,195.200000,261508707.9
455,4560.0,205.200000,320009641.9
456,4570.0,202.200000,300862985.9
457,4580.0,205.200000,239117716.9
458,4590.0,195.200000,369361575.3
459,4600.0,214.000000,340942534.0
460,4610.0,218.000000,392191908.0
461,4620.0,171.000000,299572973.0
462,4630.0,4.055556,1425198.5
463,4640.0,8.055556,18321058.5
464,4650.0,6.055556,11392078.5
465,4660.0,0.388889,250322.2
466,4670.0,0.388889,250322.2
467,4680.0,0.388889,250322.2
468,4690.0,2.055556,4784335.5
469,4700.0,3.055556,8562829.5
470,4710.0,1.055556,112120.5
471,4720.0,0.555556,111380.5
472,4730.0,1.555556,112874.5
473,4740.0,4.055556,580511.5
474,4750.0,7.055556,29678641.5
475,4760.0,1.055556,112118.5
476,4770.0,0.388889,1425242.2
477,4780.0,0.388889,1425242.2
478,4790.0,0.388889,1425242.2
479,4800.0,2.388889,3223387.5
480,4810.0,0.833333,0.0
481,4820.0,4.833333,4131552.0
482,4830.0,2.333333,11612589.7
483,4840.0,0.833333,248991.2
484,4850.0,0.833333,248991.2
485,4860.0,0.833333,6735655.5
486,4870.0,0.833333,6735655.5
487,4880.0,1.666666,51728302.2
488,4890.0,5.333333,64801589.2
489,4900.0,177.533333,272891536.7
490,4910.0,175.200000,317622899.1
491,4920.0,167.200000,264664764.1
492,4930.0,170.200000,208113862.1
493,4940.0,122.200000,147276447.6
494,4950.0,152.000000,180386384.0
495,4960.0,164.000000,215327703.0
496,4970.0,188.500000,180208444.0
497,4980.0,178.500000,235715576.0
498,4990.0,10.000000,6283505.0
499,5000.0,3.111111,11551705.8
500,5010.0,0.611111,864503.6
501,5020.0,1.611111,2546067.0
502,5030.0,0.611111,976.8
503,5040.0,8.611111,5940134.8
504,5050.0,0.611111,1894816.8
505,5060.0,0.611111,1894816.8
506,5070.0,1.111111,438663.8
